"Average Order","Sipariş Ortalaması"
"Average Order Value","Sipariş Ortalama Değeri"
Bestsellers,En Çok Satanlar
"Conversion Funnel","Karşılaştırma Hunisi"
Customers,Müşteriler
"Last Order","Son Sipariş"
"Last Search Terms","Son Arama Kelimeleri"
"Lifetime Sales","Tüm Satışlar"
"Most Viewed Products","En Çok Görülen Ürünler"
"New Customers","Yeni Müşteriler"
Orders,Siparişler
first,ilk
repeat,tekrar
"Repeat Customer Rate","Sadık Müşteri Oranı"
"Sales By Location","Yere Göre Satışlar"
Shipping,Teslimat
Tax,Vergi
"Top Search Terms","En Çok Aranan Kelimeler"
Totals,Toplamlar
"Can not be load Card","Kart yüklenemedi"
Dashboard,Konsol
"All Websites","Tüm Web Siteleri"
"compare with","karşılaştır"
Card,Kart
"Please upgrade to %1 version to see more detail","Detayları görmek için lütfen %1 versiyonuna yükseltiniz"
"View Details","Detayları Göster"
"Something went wrong while loading %1 card","%1 kartı yüklenirken bir sorun oluştu"
"Chart is disabled. To enable the chart, click <a href='%1'>here</a>","Grafik devre dışı. Açmak için <a href='%1'>buraya</a> tıklayınız"
"Product Viewed: %1","Gösterilen Ürün: %1"
"Add To Cart: %1","Sepete Eklenen: %1"
"Ordered: %1","Sipariş Edilen: %1"
"We couldn't find any records.","Kayıt bulunamadı."
Period,Periyod
Day,Gün
Week,Hafta
Month,Ay
Year,Yıl
"Order Status","Sipariş Durumu"
--Select--,--Seç--
"Date Used","Kullanılan Tarih"
"Created At","Oluşturma"
"Updated At","Güncelleme"
"Let’s experience your new dashboard","Yeni konsolu tecrübe edin"
"Hello there! Better reports are available","Merhaba! Artık raporlarınız daha gelişmiş"
"Mageplaza Advanced Reporting","Mageplaza Gelişmiş Raporlama"
"The better reports provides ecommerce insights across performance metrics, product sales, customers, and cost of goods sold. Instantly measure metrics like customer lifetime value, gross margin, net profit, and more to build and automate high-quality ecommerce reports.","Gelişmiş Raporlama, performans ölçümleri, ürün satışları, müşteriler ve satılan malların maliyeti hakkında e-ticaret içgörüleri sağlar. Yüksek kaliteli e-ticaret raporları oluşturmak ve otomatikleştirmek için müşteri tüm satışları, brüt kar marjı, net kar ve daha fazlası gibi metrikleri anında ölçün."
"Try to use new Dashboard","Yeni Konsolu Deneyin"
"Change Key","Anahtarı Değiştir"
"Generate Url","URL Oluştur"
Copied!,Kopyalandı!
Continue,Devam Et
"Mageplaza Reports Dashboard","Mageplaza Rapor Konsolu"
Reports,Raporlar
"General Configuration","Genel Ayarlar"
"Module Enable","Modülü Aktifleştir"
"Enable Dashboard","Konsolu Aktifleştir"
"Enable Chart","Grafikleri Aktifleştir"
"Enable Comparison","Karşılaştırmayı Aktifleştir"
"Mobile Dashboard","Mobil Konsol"
"Access Key","Erişim Anahtarı"
"You must save config to apply change.","Değişikliklerin yansıması için ayarları kaydediniz."
